name	Snippet	styleUrl	longitude	latitude	altitude	Type	Region
Duchun, Xiaoyi	Record 90	#defaultStyleMap	111.5028	37.3222	0	Surficial	China
Guopanliang	Record 91	#defaultStyleMap	111.1708	38.7528	0	Surficial	China
Ke\'er	Record 92	#defaultStyleMap	111.4889	37.3361	0	Surficial	China
Re\'er	Record 93	#defaultStyleMap	111.4889	37.3361	0	Surficial	China
Shuiquliu	Record 94	#defaultStyleMap	127.0667	44.55	0	Surficial	China
Amazon Valley	Record 910	#defaultStyleMap	-58	-2	0	Surficial	Brazil
Jari	Record 932	#defaultStyleMap	-52.367	-0.5	0	Surficial	Brazil
Paragominas	Record 945	#defaultStyleMap	-47.6139	-3.6297	0	Surficial	Brazil
Pocos de Caldas	Record 952	#defaultStyleMap	-46	-21.8	0	Surficial	Brazil
Trombetas	Record 969	#defaultStyleMap	-56.25	-1.25	0	Surficial	Brazil
East Montgomery (Linden)	Record 1164	#defaultStyleMap	-58.25	5.9833	0	Surficial	Guyana
Kwakwani (Bermine)	Record 1165	#defaultStyleMap	-57.75	5.25	0	Surficial	Guyana
Manchester Plateau	Record 1168	#defaultStyleMap	-77.3833	17.95	0	Surficial	Jamaica
St. Ann Uplands	Record 1169	#defaultStyleMap	-77.4	18.3167	0	Surficial	Jamaica
Lelydorp-OnverdachtParanam	Record 1282	#defaultStyleMap	-54.4	5.6	0	Surficial	Surinam
Moengo	Record 1283	#defaultStyleMap	-54.4	5.6167	0	Surficial	Surinam
Los Pijiguaos	Record 1288	#defaultStyleMap	-66.75	6.5833	0	Surficial	Venezuela
Parnassos	Record 1359	#defaultStyleMap	22.6166666666667	38.5333333333333	0	Surficial	Greece
Bakony District	Record 1362	#defaultStyleMap	17.55	47.05	0	Surficial	Hungary
Ajatskoe 1	Record 1394	#defaultStyleMap	62.9144444444444	52.7319444444444	0	Sedimentary	Kazakhstan
Aktogajskoe	Record 1396	#defaultStyleMap	59.0333333333333	48.5041666666667	0	Sedimentary	Kazakhstan
Bosaga	Record 1420	#defaultStyleMap	75.8413888888889	48.6080555555556	0	Hydrothermal	Kazakhstan
Koktauskoe	Record 1438	#defaultStyleMap	66.5941666666667	50.2363888888889	0	Metamorphic	Kazakhstan
Krasnooktjabr'skoe	Record 1441	#defaultStyleMap	62.4641666666667	52.0841666666667	0	Sedimentary	Kazakhstan
Kubasadyrskoe	Record 1442	#defaultStyleMap	66.6069444444444	51.2952777777778	0	Surficial	Kazakhstan
Sar-Kol'	Record 1466	#defaultStyleMap	58.6213888888889	49.0855555555556	0	Sedimentary	Kazakhstan
Sokurkoj	Record 1474	#defaultStyleMap	74.1177777777778	46.5013888888889	0	Hydrothermal	Kazakhstan
Zapadno-Ubaganskoe	Record 1487	#defaultStyleMap	64.7519444444444	52.8105555555556	0	Sedimentary	Kazakhstan
Aktogajskoe	Record 1544	#defaultStyleMap	47.2944444444444	41.4786111111111	0	Sedimentary	Russia
Dzhilinda (Mukhal'skoe)	Record 1592	#defaultStyleMap	99.1708333333333	54.3388888888889	0	Igneous	Russia
Iskinskoe (Askum)	Record 1614	#defaultStyleMap	140.436666666667	53.4083333333333	0	Hydrothermal	Russia
Kharlinskoye	Record 1635	#defaultStyleMap	96.5833333333333	50.5375	0	Igneous	Russia
Krasnaja Shapochka, Severnoe	Record 1648	#defaultStyleMap	59.9588888888889	60.1641666666667	0	Sedimentary	Russia
Oktjabr'skoe	Record 1871	#defaultStyleMap	37.44	47.5169444444444	0	Igneous	Ukraine
Bauxite	Record 2203	#defaultStyleMap	13	7	0	Surficial	Cameroon
Minim Martap	Record 2204	#defaultStyleMap	12.9667	6.9333	0	Surficial	Cameroon
Gebel Abu Khruq	Record 2260	#defaultStyleMap	34.26667	24.65	0	Surficial	Egypt
Nag Hammadi	Record 2261	#defaultStyleMap	32.2167	26.0667	0	Surficial	Egypt
Kibi Atewa	Record 2354	#defaultStyleMap	-0.55	6.1333	0	Surficial	Ghana
Nyinahin (Aya)	Record 2355	#defaultStyleMap	-2.2167	6.6417	0	Surficial	Ghana
Sefwi (Bekwai, Awaso)	Record 2357	#defaultStyleMap	-2.2806	6.2167	0	Surficial	Ghana
Aye Koye	Record 2372	#defaultStyleMap	-13.7833	11.1	0	Surficial	Guinea
Bauxite	Record 2373	#defaultStyleMap	-13.75	11.16667	0	Surficial	Guinea
Bauxite	Record 2374	#defaultStyleMap	-12.51	10.04	0	Surficial	Guinea
Cbg, Boke Project	Record 2375	#defaultStyleMap	-10	9	0	Surficial	Guinea
Kindia	Record 2376	#defaultStyleMap	-12.85	10.06667	0	Surficial	Guinea
Lelydorp (Onverdacht, Paranam)	Record 2377	#defaultStyleMap	-13.91667	11.16667	0	Surficial	Guinea
Sangaredi Boke	Record 2378	#defaultStyleMap	-13.5167	11.0667	0	Surficial	Guinea
Tougue	Record 2379	#defaultStyleMap	-11.6667	11.4333	0	Surficial	Guinea
Friguia (Fria, Friguiagbe)	Record 2380	#defaultStyleMap	-13.66667	10.5	0	Surficial	Guinea
Mokanji Mountain	Record 2486	#defaultStyleMap	35.5833	-15.9667	0	Surficial	Malawi
Az Zubirah	Record 2610	#defaultStyleMap	43.71667	27.93333	0	Surficial	Saudi Arabia
Moyamba	Record 2638	#defaultStyleMap	-12.1667	7.9167	0	Surficial	Sierra Leone
Port Loko	Record 2639	#defaultStyleMap	-12.75	8.75	0	Surficial	Sierra Leone
Obatu-Shela	Record 1	#defaultStyleMap	66.2833	32	0	Surficial	Afghanistan
Beltesin gol	Record 338	#defaultStyleMap	99.35	50.45	0	Igneous	Mongolia
Duchin gol	Record 339	#defaultStyleMap	99.6167	50.3667	0	Igneous	Mongolia
Western Mali Bauxites	Record 2492	#defaultStyleMap	-11.4167	12.6167	0	Surficial	Mali
Ban Namtang	Record 327	#defaultStyleMap	106	15.15	0	Surficial	Laos
Gove	Record 17	#defaultStyleMap	136.75	-12.3	0	Surficial	Australia
Basay	Record 429	#defaultStyleMap	122.6333	9.5667	0	Hydrothermal	Philippines
Mount Lyell	Record 26	#defaultStyleMap	145.55	-42.1167	0	Hydrothermal	Australia
Baza	Record 1560	#defaultStyleMap	96.8	53.6666666666667	0	Sedimentary	Russia
Tongquanshan	Record 124	#defaultStyleMap	117.7833	30.9333	0	Metamorphic	China
Tianbaoshan	Record 128	#defaultStyleMap	129.9839	42.9167	0	Metamorphic	China
Wushan	Record 139	#defaultStyleMap	115.68	29.75	0	Metamorphic	China
Aynak	Record 5	#defaultStyleMap	69.301	34.266	0	Sedimentary	Afghanistan
Mount Isa	Record 31	#defaultStyleMap	139.3	-20.7	0	Sedimentary	Australia
DaTongChang	Record 114	#defaultStyleMap	105.0667	30.6667	0	Sedimentary	China
Disue-1	Record 115	#defaultStyleMap	81.25	41.3333	0	Sedimentary	China
Dongchuan area	Record 116	#defaultStyleMap	103	23.5	0	Sedimentary	China
FengShan	Record 117	#defaultStyleMap	102.1667	24.15	0	Sedimentary	China
JiuquiWan	Record 118	#defaultStyleMap	113.0833	26.25	0	Sedimentary	China
